,Subsistence [B004],Community marriage organisation,ID,Name in English,ISO639-3 codes,Degree of endangerment,Level of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude
KokoBera,,,183,Koko Bera,kkp,Severely endangered,3,"Gugubera, Kukubera, Koko Pera, Berang, Paperyn, Kok Kaber",,20,-15.6865,141.5917
KuguNganhcara,,,,,,,,,,,,
Kukatj,,,,,,,,,,,,
Kukatja,,,2081,Kukatja,kux,Vulnerable,1,"Gugadja,  Kukaja, Gugadja",,1000,-21.2074,126.4746
KukuWura,,,,,,,,,,,,
KukuYalanji,,Agamous,200,Kuku Yalanji,gvn,Severely endangered,3,"Kuku-Yalanji, Guguyalanji, Koko-Yalanji, Kuku-Yalangi.  Dialects: Kuku-Nyungkul, Kuku-Biraji",,23,-15.8148,144.9316
Kungadutyi,,,,,,,,,,,,
Kungkari,,,,,,,,,,,,
Kunjen,,,198,Kunjen,kjn,Critically endangered,4,"Guguminjen, Kukumindjen.  Dialects: Ulkulu, Oykangand (Olgol, Olgolo, Olgel, Ogondyan).",,2,-16.1316,142.207
Kurnu,,,,,,,,,,,,
Kurrama,,,199,Kurrama,vku,Critically endangered,4," Kurama, Gurama, Karama, Korama.",,10,-21.6383,117.9711
Kurtjar,,,189,Kurtjar,gdj,Extinct,5,"Gurdjar,  Kurtjjar.",,0,-18.0623,140.4052
KuukThaayorre,,,,,,,,,,,,
KuukuYau,,,201,Kuuku Ya'u,kuy,Critically endangered,4,"Gugu Yau,  Ya'o, Koko-Ja'o, Kokoyao, Bagadji, Pakadji.",,9,-12.0185,142.8112
Lardil,Fishing,,202,Lardil,lbz,Critically endangered,4,"Leedil, Ladil, Lardill, Laierdila, Kunana.",,10,-16.5526,139.3176
Linngithigh,,,,,,,,,,,,
Mabuiag,,,,,,,,,,,,
Malgana,,,,,,,,,,,,
Malngin,,,,,,,,,,,,
Malyangapa,,,,,,,,,,,,
MangalaMcK,,,205,Mangarla,mem,Critically endangered,4,"Mangalaa, Mangala, Manala, Minala, Djawali, Djuwali, Jiwali, Jiwarli, Koalgurdi, Yalmbau",,20,-20.159,122.6513
MangalaNW,,,205,Mangarla,mem,Critically endangered,4,"Mangalaa, Mangala, Manala, Minala, Djawali, Djuwali, Jiwali, Jiwarli, Koalgurdi, Yalmbau",,20,-20.159,122.6513
Manjiljarra,,,,,,,,,,,,
Margany,,,,,,,,,,,,
MartuWangka,Gathering,Agamous,2070,Martuwangka,mpj,Vulnerable,1,"Mardo, Targudi.  Dialects: Manyjilyjara (Mantjiltjara), Kartujarra (Kartutjara, Kardutjara, Kadaddjara, Martu Wangka, Kardutjarra, Kiadjara, Gardudjara, Gagudjara), Puditara (Budidjara, Putujara), Yulparitja (Yilparitja, Yulbaridja), Wangkajunga (Wan",,2500,-24.1975,122.9589
Martuthunira,,,,,,,,,,,,
MaryRiverandBunyaBunyaCountry,,,,,,,,,,,,
MathiMathi,,,,,,,,,,,,
MayiKulan,,,,,,,,,,,,
MayiKutuna,,,,,,,,,,,,
MayiThakurti,,,,,,,,,,,,
MayiYapi,,,,,,,,,,,,
Mbabaram,,,,,,,,,,,,
Mbakwithi,,,,,,,,,,,,
Mbiywom,,,,,,,,,,,,
Minjungbal,,,,,,,,,,,,
Minkin,,,,,,,,,,,,
Mirniny,,,,,,,,,,,,
Mithaka,,,,,,,,,,,,
Moneroo,,,,,,,,,,,,
MountFreelingDiyari,,,,,,,,,,,,
Mpalityan,,,,,,,,,,,,
Mudburra,,,213,Mudburra,mwd,Severely endangered,3,"Mudbura, Mutpurra, Karranga, Pinkangama.",,48,-16.9727,131.77
MudburraMcC,,,213,Mudburra,mwd,Severely endangered,3,"Mudbura, Mutpurra, Karranga, Pinkangama.",,48,-16.9727,131.77
MuliarraTribe,,,,,,,,,,,,
Muruwari,,,,,,,,,,,,
Narrungga,,,,,,,,,,,,
NatalDowns,,,,,,,,,,,,
NerangCreek,,,,,,,,,,,,
NewNorciaandLeschenaultBay,,,,,,,,,,,,
Ngaanyatjarra,Gathering,Endogamous,2078,Ngaanyatjarra,ntj,Vulnerable,1,"Nyanganyatjara, Ngaanyatjara, Ngaanjatjarra.",,700,-26.037,124.541
Ngadjumaya,,Agamous,,,,,,,,,,
Ngadjuri,,,,,,,,,,,,
Ngaiawang,,,,,,,,,,,,
Ngamini,,,,,,,,,,,,
Ngardily,,,,,,,,,,,,
Ngarigu,,,,,,,,,,,,
Ngarinyman,,,224,Ngarinman,nbj,Severely endangered,3,"Airiman, Hainman, Ngaiman, Ngrarmun.  Dialects: Bilinara (Pilinara).",,50,-16.6782,129.7485
Ngarla,,,682,Ngarla,nlr,Extinct,5,,,0,-20.5916,119.0917
Ngarluma,,,217,Ngarluma,nrl,Critically endangered,4,"Narluma,  Ngaluma, Gnalouma, Gnalluma, Ngallooma.",,9,-21.1664,117.3339
Ngarrindjeri,,Endogamous,,,,Critically enangered,4,,,,-35.95,139.82
Ngawun,,,,,,,,,,,,
NggoiMwoi,,,,,,,,,,,,
Nggoth,,,,,,,,,,,,
Ngiyambaa,,Agamous,,,,Critically endangered,4,,,5,-31.28,146.05
Nguburindi,,,,,,,,,,,,
Ngunawal,,,,,,,,,,,,
Nhanta,,,,,,,,,,,,
Nhirrpi,,,,,,,,,,,,
NorthernMangarla,,,,,,,,,,,,
NorthernNyangumarta,,,,,,,,,,,,
Ntrangith,,,,,,,,,,,,
