Language	Degree of endangerment	Level of endangerment	Number of speakers	Latitude	Longitude	Community Marriage Organisation	Name	fSD-dis-nondis	mSD-dis-nondis	agriculture				ID	Name in English	Community Marriage Organisation	Countries	Country codes alpha 3	ISO639-3 codes	Degree of endangerment	Alternate names	Name in the language	Number of speakers	Sources	Latitude	Longitude	Description of the location
Geba	Safe	0	40000	19.5	96.95		Geba								Geba Karen					Safe			40000		19.5	96.95	
Geker							Geker																				
Guiqiong	Vulnerable	1	7000	30.8148	101.7021		Guiqiong  	0	0	1				2433	Guichong		China	CHN	gqi	Vulnerable			7000	Bradley 2007	30.8148	101.7021	
Gurung	Definitely endangered	2	338925	28.275	84.1782		Gurung    	1	0	0				1113	Gurung		Nepal	NPL	"ggn, gvr"	Definitely endangered	__‹_‚___‚__é; __‹_‚___‚__é_‚__‹; Tamu		338925	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	28.275	84.1782	"Gorkh— , K—sk—‰, Lamjuö_€ , Parbat, Sy—ö_€j—, Tanah© and Dh—diö_€ districts"
Haka	Safe	0	100000	22.67	93.67		Haka								Haka Chin		China			Safe			100000		22.67	93.67	
Hakka	Safe	0	30000000	25	116		Hakka     	1	0	0					Hakka		China			Safe			30000000		25	116	
Hill_Miri	Definitely endangered	2	12000	27.7078	94.0374		Hill_Miri 	1	0	0				1090	Hill Miri		India	IND	mrg	Definitely endangered	"Miri, Mising, Mishing"		12000		27.7078	94.0374	"Lower Subansiri Dt, concentrated in and around the town of Raga"
Hmar	Vulnerable	1	50000	24.577	93.3178		Hmar      	1	0	0				1232	Hmar		India	IND	hmr	Vulnerable			50000		24.577	93.3178	"Assam, North Cachar and Cachar districts; Manipur, Churachandpur Dt.; Mizoram, Aizawl, Cachar, North Cachar districts; Tripura."
Idu	Definitely endangered	2	11101	28.6496	95.8419		Idu       	1	0	0				1084	Idu		"China, India"	"CHN, IND"	clk	Definitely endangered	"Mishmi, Chulikata Mishmi"		11101	Bradley 2007	28.6496	95.8419	Upper and Lower Dibang districts
Jiarung	Safe	0	40000	31.4	101.45		Jiarung   	0	0	0					Gyalrong					Safe			40000		31.4	101.45	
Jingpo	Critically endangered	4	10450	22	101	Endogamy	Jingpo    	1	0	1					Youle Jingpo					Critically endangered			10450		22	101	
Jinuo	Definitely endangered	2	12000	21.4758	101.3111		Jinuo     	1	0	1				2446	Jinuo		China	CHN	"jiy, jiu"	Definitely endangered			12000	Bradley 2007	21.4758	101.3111	
Jirel	Definitely endangered	2	4919	27.6419	86.2123		Jirel     	1	0	0				1125	Jirel		Nepal	NPL	jul	Definitely endangered	__Ò_____‚š___; Ziral; Jiri; Jirial		4919	"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/KÕ_ln: Brill.
Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.
ethnologue.com"	27.6419	86.2123	Dolakha district
